img_pair,coherence_score,coherence_explanation,bias_score_img1,bias_score_img2,biases,visual_consistency,narrative_entity_persistence
1_2,0.9,"The images show a clear narrative progression from presentation of the digital twin to interactive manipulation of digital reality, maintaining consistent visual style and thematic elements throughout.",0.7,0.6,"{
    ""img1"": {
        ""biases"": {
            ""professionalBias"": ""Depicts traditional 'professional' appearance with lab coat and formal attire"",
            ""technologyBias"": ""Presents AI/digital technology in a dramatized, Hollywood style"",
            ""representationBias"": ""Shows diverse audience but maintains conventional professional appearance stereotypes""
        }
    },
    ""img2"": {
        ""biases"": {
            ""technologyBias"": ""Matrix-style representation of technology and code"",
            ""scientificBias"": ""Traditional laboratory/scientific setting stereotypes"",
            ""powerDynamicBias"": ""Dramatic portrayal of human-AI interaction""
        }
    }
}","{
    ""consistent_elements"": [
        ""blue-tinted technological aesthetic"",
        ""digital/holographic displays"",
        ""laboratory/scientific setting"",
        ""white lab coat"",
        ""digital twin representation"",
        ""dramatic lighting""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""scientist"", ""type"": ""character"", ""description"": ""maintains presence and role across both images""},
        {""element"": ""digital twin"", ""type"": ""character"", ""description"": ""evolves from presentation tool to interactive entity""},
        {""element"": ""technological interface"", ""type"": ""object"", ""description"": ""transforms from presentation display to manipulatable environment""},
        {""element"": ""sci-fi aesthetic"", ""type"": ""aesthetic"", ""description"": ""maintains consistent futuristic, high-tech visual style""}
    ]
}"
2_3,0.9,"The images show strong narrative continuity, maintaining consistent visual style, character, and theme of reality manipulation through technology, progressing from interface with digital twin to environmental application.",0.7,0.6,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Reinforces stereotype of female scientist needing technological assistance/guidance"",
            ""technologicalBias"": ""Presents technology as mystical/magical rather than scientific"",
            ""aestheticBias"": ""Western-centric sci-fi visual elements""
        }
    },
    ""img2"": {
        ""biases"": {
            ""environmentalBias"": ""Oversimplifies environmental solutions"",
            ""technologicalBias"": ""Suggests complex problems can be solved with simple technological solutions"",
            ""textualBias"": ""Contains spelling errors in text overlay suggesting lower quality/professionalism""
        }
    }
}","{
    ""consistent_elements"": [
        ""futuristic aesthetic"",
        ""blue-tinted lighting"",
        ""white lab coat"",
        ""digital displays"",
        ""holographic interfaces"",
        ""dramatic lighting"",
        ""sophisticated technology""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""scientist"", ""type"": ""character"", ""description"": ""maintains same appearance and role across images""},
        {""element"": ""digital interface"", ""type"": ""object"", ""description"": ""evolves from AI face to environmental display""},
        {""element"": ""reality manipulation theme"", ""type"": ""mood"", ""description"": ""progresses from individual to global scale""},
        {""element"": ""technological environment"", ""type"": ""aesthetic"", ""description"": ""maintains futuristic, high-tech setting""}
    ]
}"
3_4,0.85,"The images maintain strong narrative continuity, showing a progression from theoretical environmental solution to practical application, with consistent styling and thematic elements.",0.7,0.6,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Reinforces stereotype of women in supportive/nurturing roles, even in science"",
            ""aestheticBias"": ""Western beauty standards in scientific representation"",
            ""technologicalBias"": ""Depicts advanced technology as primarily Western/futuristic""
        }
    },
    ""img2"": {
        ""biases"": {
            ""urbanBias"": ""Focuses on city-centric solutions"",
            ""technologicalBias"": ""Suggests single-device solutions to complex problems"",
            ""environmentalBias"": ""Simplifies environmental solutions to technological fixes""
        }
    }
}","{
    ""consistent_elements"": [
        ""lab coat/professional attire"",
        ""futuristic lighting"",
        ""technological interfaces"",
        ""dramatic lighting"",
        ""environmental themes"",
        ""hyperrealistic rendering style""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""scientist"", ""type"": ""character"", ""description"": ""Maintains professional appearance and role""},
        {""element"": ""environmental focus"", ""type"": ""theme"", ""description"": ""Shifts from global view to urban application""},
        {""element"": ""technological interface"", ""type"": ""object"", ""description"": ""Changes from holographic display to handheld device""},
        {""element"": ""dramatic lighting"", ""type"": ""aesthetic"", ""description"": ""Maintains cinematic atmosphere""}
    ]
}"
4_5,0.9,The images show a clear narrative progression from the scientist with the air-purifying device in a polluted city to the resulting abundant plant growth and oxygen monitoring in a laboratory setting.,0.3,0.2,"{
    ""img1"": {
        ""biases"": {
            ""beautyStandards"": ""Portrayal emphasizes conventional beauty standards"",
            ""professionalPresentation"": ""Dramatic, heroic pose more typical of entertainment than scientific work""
        }
    },
    ""img2"": {
        ""biases"": {
            ""technologyRepresentation"": ""High-tech, futuristic lab setting may not reflect realistic scientific work environments""
        }
    }
}","{
    ""consistent_elements"": [
        ""lab coat/scientific attire"",
        ""blue/cool color palette"",
        ""dramatic lighting"",
        ""technological elements"",
        ""hyperrealistic art style""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""scientist"", ""type"": ""character"", ""description"": ""Maintains professional appearance and role""},
        {""element"": ""environmental transformation"", ""type"": ""theme"", ""description"": ""Progression from air purification to plant growth""},
        {""element"": ""scientific equipment"", ""type"": ""object"", ""description"": ""Evolution from handheld device to lab monitoring systems""},
        {""element"": ""dramatic lighting"", ""type"": ""aesthetic"", ""description"": ""Maintains cinematic atmosphere across both images""}
    ]
}"
5_6,0.85,"The images show a clear progression from laboratory-scale plant manipulation to a larger utopian world creation, maintaining consistent themes of nature, transformation, and scientific advancement.",0.3,0.2,"{
    ""img1"": {
        ""biases"": {
            ""professionalBias"": ""Portrays scientific work in a highly stylized, magical way rather than showing realistic scientific process"",
            ""technologicalBias"": ""Oversimplifies complex scientific monitoring systems"",
            ""environmentalBias"": ""Presents oversimplified solution to environmental problems""
        }
    },
    ""img2"": {
        ""biases"": {
            ""utopianBias"": ""Presents an idealized version of environmental harmony"",
            ""urbanPlanningBias"": ""Shows a Western-centric view of ideal city design""
        }
    }
}","{
    ""consistent_elements"": [
        ""blue color palette"",
        ""magical/ethereal lighting"",
        ""plant life"",
        ""scientific/technological elements"",
        ""flowing/dynamic composition"",
        ""lab coat/professional attire""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""central figure"", ""type"": ""character"", ""description"": ""maintains presence and role as transformer""},
        {""element"": ""plant life"", ""type"": ""object"", ""description"": ""expands from laboratory specimens to world-scale vegetation""},
        {""element"": ""magical energy"", ""type"": ""aesthetic"", ""description"": ""evolves from blue laboratory energy to larger-scale transformative power""},
        {""element"": ""professional/scientific theme"", ""type"": ""mood"", ""description"": ""transitions from laboratory setting to large-scale application""}
    ]
}"
6_7,0.8,"The images maintain strong narrative continuity through the scientist character and the fantastical/technological elements, though the settings shift dramatically from outdoor utopia to indoor laboratory.",0.3,0.4,"{
    ""img1"": {
        ""biases"": {
            ""environmentalBias"": ""depicts nature as controllable/manipulatable by technology"",
            ""powerDynamics"": ""presents singular figure as having god-like control over environment""
        }
    },
    ""img2"": {
        ""biases"": {
            ""technologicalBias"": ""portrays advanced technology with ominous/mysterious undertones"",
            ""professionalBias"": ""depicts scientific authority in traditional laboratory setting""
        }
    }
}","{
    ""consistent_elements"": [
        ""dramatic lighting"",
        ""sci-fi/fantasy aesthetic"",
        ""blue color palette"",
        ""technological/magical elements"",
        ""hyperrealistic rendering style""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""scientist character"", ""type"": ""character"", ""description"": ""maintains presence as central figure""},
        {""element"": ""magical/technological power"", ""type"": ""aesthetic"", ""description"": ""transitions from nature-based to technological manifestation""},
        {""element"": ""otherworldly atmosphere"", ""type"": ""mood"", ""description"": ""continues through both scenes but shifts from natural to artificial setting""},
        {""element"": ""dramatic lighting"", ""type"": ""aesthetic"", ""description"": ""persists but changes from natural to artificial source""}
    ]
}"
7_8,0.85,"The images maintain strong narrative continuity through consistent characters, aesthetic style, and thematic elements, though there are some minor discrepancies in the robot's appearance between images.",0.7,0.6,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Traditional portrayal of scientist in lab coat"",
            ""ageism"": ""Youth portrayed as needing guidance from adult"",
            ""technologicalBias"": ""Advanced technology depicted as humanoid/anthropomorphic""
        }
    },
    ""img2"": {
        ""biases"": {
            ""environmentalBias"": ""Nature depicted as fragile/dependent on intervention"",
            ""technologicalBias"": ""Robot portrayed in more threatening manner""
        }
    }
}","{
    ""consistent_elements"": [
        ""hyperrealistic art style"",
        ""sci-fi lighting and atmosphere"",
        ""lab coat clothing"",
        ""robotic character"",
        ""blue/orange color palette""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""scientist"", ""type"": ""character"", ""description"": ""maintains appearance and role across scenes""},
        {""element"": ""robot"", ""type"": ""character"", ""description"": ""transforms from guide to more ominous presence""},
        {""element"": ""technological environment"", ""type"": ""aesthetic"", ""description"": ""evolves from lab setting to organic/tech hybrid""},
        {""element"": ""dramatic lighting"", ""type"": ""mood"", ""description"": ""shifts from cool blue to warm amber tones""}
    ]
}"
8_9,0.85,"The images show a clear narrative progression from discovering the problem with the mysterious mechanical being to creating a solution using roses. The visual style, characters, and core elements remain consistent between both images.",0.6,0.6,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Female scientist portrayed in traditional lab coat stereotype"",
            ""technologicalBias"": ""AI/robot portrayed as threatening/ominous"",
            ""aestheticBias"": ""Western beauty standards in character design""
        }
    },
    ""img2"": {
        ""biases"": {
            ""genderBias"": ""Female character in traditional 'magical/mystical' role"",
            ""aestheticBias"": ""Romanticized laboratory setting"",
            ""culturalBias"": ""Medieval/fantasy aesthetic mixed with science""
        }
    }
}","{
    ""consistent_elements"": [
        ""roses/pink flowers"",
        ""dramatic lighting"",
        ""hyperrealistic art style"",
        ""laboratory/scientific setting"",
        ""character's appearance"",
        ""mysterious mechanical elements""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""roses"", ""type"": ""object"", ""description"": ""transforms from background elements to central solution""},
        {""element"": ""scientist character"", ""type"": ""character"", ""description"": ""maintains role but shifts from observer to active participant""},
        {""element"": ""mechanical/mysterious presence"", ""type"": ""character"", ""description"": ""changes from threatening to helpful""},
        {""element"": ""dramatic lighting"", ""type"": ""aesthetic"", ""description"": ""shifts from warm/golden to cool/blue tones""}
    ]
}"
9_10,0.7,"The images show a clear progression from potion creation to its implementation in society, though the shift in tone from mystical/romantic to authoritarian is somewhat abrupt.",0.6,0.4,"{
    ""img1"": {
        ""biases"": {
            ""genderBias"": ""Depicts scientist in traditionally feminine/romantic styling"",
            ""aestheticBias"": ""Western fairy tale aesthetic"",
            ""roleTyping"": ""Mystical/romantic portrayal of scientific work""
        }
    },
    ""img2"": {
        ""biases"": {
            ""powerDynamics"": ""Authoritarian positioning and imagery"",
            ""institutionalBias"": ""Western-centric legal/institutional imagery""
        }
    }
}","{
    ""consistent_elements"": [
        ""dramatic lighting"",
        ""magical/supernatural elements"",
        ""potion/transformation theme"",
        ""blue color palette"",
        ""hyperrealistic rendering style""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""potion"", ""type"": ""object"", ""description"": ""transforms from rose-based liquid to ethereal hologram""},
        {""element"": ""magical atmosphere"", ""type"": ""aesthetic"", ""description"": ""shifts from warm/romantic to cold/institutional""},
        {""element"": ""transformation theme"", ""type"": ""mood"", ""description"": ""evolves from personal to societal impact""}
    ]
}"
10_11,0.9,"The images show a clear cause-and-effect relationship, transitioning from the establishment of magical rules to their dire consequences. The aesthetic and thematic elements strongly connect the two scenes.",0.7,0.4,"{
    ""img1"": {
        ""biases"": {
            ""powerBias"": ""Depicts authority figure in traditional position of power"",
            ""aestheticBias"": ""Western fantasy/gothic aesthetic dominance"",
            ""ageBias"": ""Elder figures shown in subordinate background positions""
        }
    },
    ""img2"": {
        ""biases"": {
            ""symbolismBias"": ""Western interpretation of death imagery"",
            ""culturalBias"": ""Gothic/medieval European aesthetic in depicting mortality""
        }
    }
}","{
    ""consistent_elements"": [
        ""blue mystical lighting"",
        ""magical/supernatural elements"",
        ""gothic atmosphere"",
        ""dramatic lighting"",
        ""fantasy aesthetic""
    ]
}","{
    ""elements_from_previous_to_current"": [
        {""element"": ""potion/magical substance"", ""type"": ""object"", ""description"": ""transforms from controlled magic to deadly consequence""},
        {""element"": ""supernatural aura"", ""type"": ""aesthetic"", ""description"": ""maintains blue ethereal glow throughout""},
        {""element"": ""gothic setting"", ""type"": ""mood"", ""description"": ""continues from formal setting to dark outcome""},
        {""element"": ""mystical energy"", ""type"": ""aesthetic"", ""description"": ""evolves from contained to uncontrolled force""}
    ]
}"
